Code,Name,EntryTime,ExitTime,EntryPrice,ExitPrice,Duration,PnL,ReturnPct,Cost,Equity
2344,華邦電       ,2025-09-18,2025-10-07,32.3,42.65,19,50167,31.36,1085,210603
6770,力積電       ,2025-09-24,2025-10-27,23.85,31.5,33,40652,31.4,878,170527
2408,南亞科       ,2025-10-09,2025-10-28,98.5,130.0,19,40327,31.3,874,169619
2344,華邦電       ,2025-09-05,2025-09-17,22.55,29.4,12,36658,29.7,831,160435
2408,南亞科       ,2025-09-08,2025-09-17,53.5,73.3,9,36099,36.32,689,135819
1815,富喬         ,2025-07-16,2025-08-11,43.84,60.49,26,35027,37.28,653,129264
1802,台玻         ,2025-07-28,2025-08-13,22.35,29.85,16,32776,32.87,681,132776
6770,力積電       ,2025-09-12,2025-09-23,17.95,23.45,11,29874,29.97,672,129874
3706,神達         ,2025-07-22,2025-08-21,70.92,82.8,30,20837,16.12,819,150563
1504,東元         ,2025-09-11,2025-10-13,93.1,112.5,32,20114,20.19,643,120114
1802,台玻         ,2025-11-11,2025-12-11,32.05,37.4,30,19383,16.06,765,140466
2344,華邦電       ,2025-02-14,2025-03-17,17.15,20.45,31,18543,18.6,639,118543
2408,南亞科       ,2025-05-14,2025-06-13,44.95,53.5,30,18325,18.38,638,118325
2408,南亞科       ,2025-11-06,2025-12-08,148.0,163.5,32,16660,9.86,1040,186279
1303,南亞         ,2025-11-13,2025-12-12,53.8,61.1,29,14317,12.94,690,125292
2344,華邦電       ,2025-10-09,2025-10-23,43.45,46.3,14,12502,5.96,1268,223106
1303,南亞         ,2025-07-30,2025-08-29,38.7,43.2,30,10974,11.01,617,110974
8110,華東         ,2025-12-09,2025-12-18,47.9,51.6,9,7094,7.12,605,107094
1815,富喬         ,2025-08-12,2025-08-21,66.5,70.05,9,6099,4.73,774,135364
2344,華邦電       ,2025-05-13,2025-06-12,17.9,18.8,30,5233,4.43,708,123777
2337,旺宏         ,2025-09-19,2025-10-20,27.85,29.4,31,4949,4.96,599,104949
1802,台玻         ,2025-08-14,2025-08-22,30.95,32.05,8,3916,2.96,788,136692
2002,中鋼         ,2025-02-14,2025-03-17,22.87,23.7,31,3051,3.06,593,103051
3231,緯創         ,2025-10-01,2025-10-31,146.0,150.5,30,2477,2.49,591,102477
1815,富喬         ,2025-05-28,2025-06-20,34.78,35.66,23,1803,1.96,546,94237
3481,群創         ,2025-08-28,2025-09-30,14.15,14.4,33,945,1.18,474,81524
2634,漢翔         ,2025-08-29,2025-09-18,62.4,62.8,20,53,0.05,584,100053
1605,華新         ,2025-10-08,2025-11-07,29.9,29.65,30,-1296,-1.42,532,90355
2324,仁寶         ,2025-09-25,2025-10-27,36.4,35.2,32,-3860,-3.87,573,96139
2887,台新新光金   ,2025-10-15,2025-11-14,19.8,18.9,30,-4532,-5.12,506,84293
1815,富喬         ,2025-02-07,2025-02-24,33.99,32.22,17,-5659,-5.79,557,92434
2408,南亞科       ,2025-09-18,2025-09-25,80.0,76.6,7,-6527,-4.82,775,129291
1605,華新         ,2025-02-17,2025-03-11,28.06,25.86,22,-8348,-8.37,560,91651
1314,中石化       ,2025-11-05,2025-11-24,8.87,8.11,19,-9101,-9.13,558,90898
2887,台新新光金   ,2025-07-11,2025-08-01,17.3,15.46,21,-11174,-11.21,552,88825
2337,旺宏         ,2025-11-11,2025-11-24,40.2,33.85,13,-13770,-16.33,454,70783
2609,陽明         ,2025-05-16,2025-06-09,75.26,63.97,24,-14059,-15.54,489,76735
1605,華新         ,2025-11-13,2025-11-19,34.45,29.05,6,-14606,-16.21,485,75748
1802,台玻         ,2025-10-08,2025-10-17,31.65,28.2,9,-15609,-11.45,753,121083
6770,力積電       ,2025-11-12,2025-12-05,36.5,32.9,23,-17714,-10.42,945,152812
3481,群創         ,2025-03-14,2025-04-08,14.49,11.89,25,-18200,-18.48,524,80578
2408,南亞科       ,2025-06-19,2025-06-30,60.4,51.2,11,-18605,-15.77,637,99720
9105,泰金寶-DR    ,2024-12-31,2025-02-03,9.06,7.53,34,-19633,-17.4,604,93545
2337,旺宏         ,2025-10-29,2025-10-31,38.5,31.2,2,-20395,-19.49,554,84553
1815,富喬         ,2025-11-13,2025-11-26,90.94,75.96,13,-22947,-17.0,724,112416
